,index,movieId,Mean_rating,Total_ratings,title,startYear,IMDBRating,IMBDVotes,(no genres listed),Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,language_en,language_es,language_fr,Adult_0,region_FR,region_US
12,12,13,3.125,8,Balto (1995),1995.0,7.1,39380,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
13,13,14,3.8333333333333335,18,Nixon (1995),1995.0,7.1,28583,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
14,14,15,3.0,13,Cutthroat Island (1995),1995.0,5.7,25829,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
15,15,16,3.926829268292683,82,Casino (1995),1995.0,8.2,460367,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
16,16,17,3.7761194029850746,67,Sense and Sensibility (1995),1995.0,7.6,101158,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
17,17,18,3.7,20,Four Rooms (1995),1995.0,6.8,97468,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
18,18,19,2.727272727272727,88,Ace Ventura: When Nature Calls (1995),1995.0,6.4,201001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
19,19,20,2.5,15,Money Train (1995),1995.0,5.7,38577,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
20,20,21,3.49438202247191,89,Get Shorty (1995),1995.0,6.9,75160,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
21,21,22,3.2222222222222223,36,Copycat (1995),1995.0,6.6,53552,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1
22,22,23,3.125,16,Assassins (1995),1995.0,6.4,77068,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
23,23,24,3.125,28,Powder (1995),1995.0,6.6,28303,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
24,24,25,3.625,76,Leaving Las Vegas (1995),1995.0,7.5,113670,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
25,25,26,3.5,13,Othello (1995),1995.0,6.8,8972,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
26,26,27,3.3333333333333335,9,Now and Then (1995),1995.0,6.8,26861,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
27,27,28,4.2272727272727275,11,Persuasion (1995),1995.0,7.7,9930,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
28,28,29,4.0131578947368425,38,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1995.0,7.5,64434,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
29,29,30,3.0,3,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1995.0,7.1,5141,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
30,30,31,3.1842105263157894,38,Dangerous Minds (1995),1995.0,6.6,48106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
31,31,32,3.983050847457627,177,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1995.0,8.0,573360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0
32,32,34,3.65234375,128,Babe (1995),1995.0,6.8,116007,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
33,33,36,3.8358208955223883,67,Dead Man Walking (1995),1995.0,7.5,87859,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
34,34,38,2.125,4,It Takes Two (1995),1995.0,5.9,20616,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
35,35,39,3.293269230769231,104,Clueless (1995),1995.0,6.8,181881,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
36,36,40,4.25,2,"Cry, the Beloved Country (1995)",1995.0,6.8,1674,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
37,37,41,3.7,15,Richard III (1995),1995.0,7.4,13659,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
38,38,42,3.0,7,Dead Presidents (1995),1995.0,6.9,19658,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
39,39,43,3.1875,8,Restoration (1995),1995.0,6.6,8842,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
40,40,44,2.5434782608695654,46,Mortal Kombat (1995),1995.0,5.8,101132,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
41,41,45,3.3125,32,To Die For (1995),1995.0,6.8,43290,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
42,42,46,3.066666666666667,15,How to Make an American Quilt (1995),1995.0,6.3,10616,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
43,43,47,3.9753694581280787,203,Seven (a.k.a. Se7en) (1995),1995.0,8.6,1425015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
44,44,48,3.1470588235294117,68,Pocahontas (1995),1995.0,6.7,168706,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1
45,45,49,3.0,1,When Night Is Falling (1995),1995.0,6.5,6547,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
46,46,50,4.237745098039215,204,"Usual Suspects, The (1995)",1995.0,8.5,980927,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
47,47,52,3.4642857142857144,28,Mighty Aphrodite (1995),1995.0,7.0,37757,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
48,48,54,2.3333333333333335,3,"Big Green, The (1995)",1995.0,5.6,9227,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
49,49,55,4.0,1,Georgia (1995),1995.0,6.6,2787,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
50,50,57,3.0625,8,Home for the Holidays (1995),1995.0,6.6,11842,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
51,51,58,4.027027027027027,37,"Postman, The (Postino, Il) (1994)",1994.0,7.7,33273,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
52,52,60,3.235294117647059,34,"Indian in the Cupboard, The (1995)",1995.0,6.0,26015,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
53,53,61,3.75,6,Eye for an Eye (1996),1996.0,6.2,13361,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
54,54,62,3.70625,80,Mr. Holland's Opus (1995),1995.0,7.3,35353,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
55,55,63,2.7142857142857144,7,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1996.0,6.6,47923,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
56,56,64,2.2,5,Two if by Sea (1996),1996.0,5.3,5368,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
57,57,65,2.532258064516129,31,Bio-Dome (1996),1996.0,4.5,25879,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
58,58,66,2.5,9,Lawnmower Man 2: Beyond Cyberspace (1996),1996.0,2.5,8898,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1
59,59,68,3.4,5,French Twist (Gazon maudit) (1995),1995.0,6.4,4587,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
60,60,69,3.775,20,Friday (1995),1995.0,7.3,98959,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
61,61,70,3.5090909090909093,55,From Dusk Till Dawn (1996),1996.0,7.2,284322,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1
62,62,71,1.7,5,Fair Game (1995),1995.0,4.3,12069,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
63,63,72,3.2142857142857144,7,Kicking and Screaming (1995),1995.0,6.8,11653,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
64,64,73,3.4615384615384617,13,"Misérables, Les (1995)",1995.0,7.4,3571,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
65,65,74,4.0,16,Bed of Roses (1996),1996.0,6.1,7820,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
66,66,75,2.2,5,Big Bully (1996),1996.0,4.7,4510,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
67,67,76,3.4,15,Screamers (1995),1995.0,6.4,24952,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1
68,68,77,4.0,1,Nico Icon (1995),1995.0,7.2,666,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
69,69,78,3.3333333333333335,3,"Crossing Guard, The (1995)",1995.0,6.3,12663,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
70,70,79,2.764705882352941,17,"Juror, The (1996)",1996.0,5.7,17078,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
71,71,80,4.0,2,"White Balloon, The (Badkonake sefid) (1995)",1995.0,7.7,6626,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
72,72,81,3.107142857142857,14,Things to Do in Denver When You're Dead (1995),1995.0,6.8,25935,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
73,73,82,3.875,8,Antonia's Line (Antonia) (1995),1995.0,7.4,8194,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
74,74,83,3.0,1,Once Upon a Time... When We Were Colored (1995),1995.0,7.1,468,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
75,75,85,3.857142857142857,7,Angels and Insects (1995),1995.0,6.8,4395,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
76,76,86,3.966666666666667,15,White Squall (1996),1996.0,6.6,20995,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
77,77,87,2.5,7,Dunston Checks In (1996),1996.0,5.4,11833,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
78,78,88,3.15625,16,Black Sheep (1996),1996.0,6.3,36298,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
79,79,89,3.25,10,Nick of Time (1995),1995.0,6.3,38853,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
80,80,92,2.625,8,Mary Reilly (1996),1996.0,5.8,13975,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0
81,81,93,2.8333333333333335,9,Vampire in Brooklyn (1995),1995.0,4.6,21516,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
82,82,94,3.95,10,Beautiful Girls (1996),1996.0,7.1,31127,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
83,83,95,3.0238095238095237,84,Broken Arrow (1996),1996.0,6.1,90082,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
84,84,96,3.5,1,In the Bleak Midwinter (1995),1995.0,7.1,2354,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
85,85,97,3.9,10,"Hate (Haine, La) (1995)",1995.0,8.1,147724,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
86,86,100,2.7857142857142856,14,City Hall (1996),1996.0,6.2,19447,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
87,87,101,3.782608695652174,23,Bottle Rocket (1996),1996.0,7.0,69202,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
88,88,102,2.4,5,Mr. Wrong (1996),1996.0,3.9,4774,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
89,89,103,3.0,3,Unforgettable (1996),1996.0,6.0,4915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0
90,90,104,3.4393939393939394,99,Happy Gilmore (1996),1996.0,7.0,195171,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
91,91,105,3.282608695652174,23,"Bridges of Madison County, The (1995)",1995.0,7.6,72284,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
92,92,106,4.0,1,Nobody Loves Me (Keiner liebt mich) (1994),1994.0,7.1,1125,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
93,93,107,3.326923076923077,26,Muppet Treasure Island (1996),1996.0,7.0,21329,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
94,94,108,4.0,1,Catwalk (1996),1995.0,7.0,251,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
95,95,110,4.031645569620253,237,Braveheart (1995),1995.0,8.3,950883,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
96,96,111,4.105769230769231,104,Taxi Driver (1976),1976.0,8.3,714951,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
97,97,112,3.5434782608695654,46,Rumble in the Bronx (Hont faan kui) (1995),1995.0,6.8,38565,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
98,98,113,3.3333333333333335,3,Before and After (1996),1996.0,6.1,8120,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
99,99,117,3.0,1,"Young Poisoner's Handbook, The (1995)",1995.0,7.1,3425,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
100,100,118,2.5,2,If Lucy Fell (1996),1996.0,4.9,3784,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
101,101,119,3.0,2,"Steal Big, Steal Little (1995)",1995.0,4.8,900,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
102,102,121,4.0,2,"Boys of St. Vincent, The (1992)",1992.0,7.5,1568,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
103,103,122,2.65625,16,Boomerang (1992),1992.0,5.5,25779,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
104,104,123,4.375,4,Chungking Express (Chung Hing sam lam) (1994),1994.0,8.1,61589,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1
105,105,125,3.5833333333333335,12,Flirting With Disaster (1996),1996.0,6.7,17592,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
106,106,126,2.0,7,"NeverEnding Story III, The (1994)",1994.0,3.2,10664,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
107,107,128,3.0,1,Jupiter's Wife (1994),1995.0,7.2,231,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
108,108,129,2.0,1,Pie in the Sky (1996),1995.0,5.7,795,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
109,109,132,2.8333333333333335,6,Jade (1995),1995.0,5.3,11340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
110,110,135,2.9516129032258065,31,Down Periscope (1996),1996.0,6.2,20875,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
111,111,137,3.0,1,Man of the Year (1995),1995.0,5.8,311,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
112,112,140,3.5,16,Up Close and Personal (1996),1996.0,6.2,13371,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0
113,113,141,3.494186046511628,86,"Birdcage, The (1996)",1996.0,7.1,79133,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
114,114,144,3.3333333333333335,12,"Brothers McMullen, The (1995)",1995.0,6.6,7332,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
115,115,145,3.2450980392156863,51,Bad Boys (1995),1995.0,6.9,237963,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
116,116,146,3.3333333333333335,3,"Amazing Panda Adventure, The (1995)",1995.0,5.8,3828,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
117,117,147,3.466666666666667,15,"Basketball Diaries, The (1995)",1995.0,7.3,101089,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
118,118,148,5.0,1,"Awfully Big Adventure, An (1995)",1995.0,6.0,2589,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
119,119,149,2.0,1,Amateur (1994),1994.0,6.9,5629,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
120,120,150,3.845771144278607,201,Apollo 13 (1995),1995.0,7.6,265649,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
121,121,151,3.5454545454545454,44,Rob Roy (1995),1995.0,6.9,40224,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0
122,122,152,1.5,2,"Addiction, The (1995)",1995.0,6.5,8869,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
123,123,153,2.9160583941605838,137,Batman Forever (1995),1995.0,5.4,233471,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
124,124,154,3.875,12,Beauty of the Day (Belle de jour) (1967),1967.0,7.7,39738,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
125,125,155,2.4166666666666665,6,Beyond Rangoon (1995),1995.0,6.6,4745,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
126,126,156,3.3333333333333335,3,Blue in the Face (1995),1995.0,6.7,8988,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
127,127,157,2.8636363636363638,11,Canadian Bacon (1995),1995.0,6.0,15949,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
128,128,158,2.806451612903226,62,Casper (1995),1995.0,6.1,120273,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
129,129,159,2.892857142857143,14,Clockers (1995),1995.0,6.9,20631,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
130,130,160,2.8771929824561404,57,Congo (1995),1995.0,5.3,41981,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
131,131,161,3.6359223300970873,103,Crimson Tide (1995),1995.0,7.3,100702,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1
132,132,162,4.205882352941177,17,Crumb (1994),1994.0,8.0,18399,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
133,133,163,3.5606060606060606,66,Desperado (1995),1995.0,7.2,170117,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1
134,134,164,3.3214285714285716,14,Devil in a Blue Dress (1995),1995.0,6.7,17342,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
135,135,165,3.5555555555555554,144,Die Hard: With a Vengeance (1995),1995.0,7.6,360450,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
136,136,166,2.8333333333333335,3,"Doom Generation, The (1995)",1995.0,6.2,13725,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
137,137,168,3.0833333333333335,54,First Knight (1995),1995.0,6.0,67675,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
138,138,169,2.4,10,Free Willy 2: The Adventure Home (1995),1995.0,5.1,16957,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
139,139,170,3.2285714285714286,35,Hackers (1995),1995.0,6.3,64946,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
140,140,171,3.8333333333333335,6,Jeffrey (1995),1995.0,6.8,5683,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
141,141,172,2.6792452830188678,53,Johnny Mnemonic (1995),1995.0,5.7,65832,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1
142,142,173,2.6693548387096775,62,Judge Dredd (1995),1995.0,5.6,109559,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
143,143,174,2.7,10,Jury Duty (1995),1995.0,4.4,7473,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
144,144,175,3.975,20,Kids (1995),1995.0,7.1,72457,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
145,145,176,4.3076923076923075,13,Living in Oblivion (1995),1995.0,7.5,16284,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
146,146,177,2.75,8,Lord of Illusions (1995),1995.0,6.1,14692,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
147,147,178,1.0,1,Love & Human Remains (1993),1993.0,6.7,2432,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
148,148,179,1.5,2,Mad Love (1995),1995.0,5.4,6085,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
